lang,chrF,BLEU
spa_Latn,7.05,0.00
als_Latn,7.08,0.00
srd_Latn,7.24,0.00
srp_Cyrl,0.02,0.00
ssw_Latn,7.91,0.00
sun_Latn,8.00,0.00
swe_Latn,6.83,0.00
swh_Latn,7.81,0.00
szl_Latn,7.10,0.00
tam_Taml,0.10,0.00
tat_Cyrl,0.02,0.00
tel_Telu,0.11,0.00
tgk_Cyrl,0.13,0.00
tgl_Latn,7.97,0.00
tha_Thai,0.20,0.00
tir_Ethi,0.02,0.00
taq_Latn,5.67,0.00
taq_Tfng,0.01,0.00
tpi_Latn,7.96,0.00
tsn_Latn,7.63,0.00
tso_Latn,8.41,0.00
tuk_Latn,6.78,0.00
tum_Latn,7.35,0.00
tur_Latn,6.61,0.00
twi_Latn,6.27,0.00
tzm_Tfng,0.00,0.00
uig_Arab,0.06,0.00
ukr_Cyrl,0.06,0.00
umb_Latn,6.84,0.00
urd_Arab,0.16,0.00
uzn_Latn,8.90,0.00
vec_Latn,6.96,0.00
vie_Latn,5.88,0.00
war_Latn,8.55,0.00
wol_Latn,6.19,0.00
xho_Latn,8.21,0.00
ydd_Hebr,0.10,0.00
yor_Latn,5.85,0.00
yue_Hant,0.26,0.00
zho_Hans,0.09,0.00
zho_Hant,0.12,0.00
zul_Latn,8.40,0.00
